event1 event2 CC dt_sec evla_eq1 evlo_eq1 evdp_eq1_km evla_eq2 evlo_eq1 evdp_eq2_km  
20041228111724 20100603092347 0.90    0.03850   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20101011090609 0.89   -2.60410   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20101023194237 0.89   -0.43170   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20101105101507 0.85   -9.13290   1.01  97.17  30.00   1.30  97.26  45.00
20041228111724 20101201004918 0.90   -4.61620   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20110512080426 0.88   -7.32500   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20110527054503 0.89   -6.77280   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20110605200347 0.90   -2.80380   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20110717013201 0.91   -8.86990   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20110824023825 0.86   -5.75170   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20111028081421 0.92   -6.46680   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20120330220151 0.90   -1.31980   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20120417032415 0.87   -5.10910   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20120523010128 0.86   -7.83010   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20120709122929 0.85   -6.57560   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20120805112727 0.97   -7.71300   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20120924101338 0.85   -7.43790   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20121222035001 0.90   -6.45140   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20121231190555 0.87   -3.33380   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20130110134645 0.87   -0.89930   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20130209024935 0.87   -7.03370   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20130218120044 0.86   -2.06870   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20130519074904 0.87   -6.21740   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20130729014323 0.85   -5.70610   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20131019014705 0.85   -2.04270   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20131022054025 0.88   -6.25400   1.01  97.17  30.00   1.37  97.25  30.00
20041228111724 20140408005653 0.89   -0.02890   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20140804103559 0.92   -5.40500   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20140924120544 0.88   -3.61200   1.01  97.17  30.00   1.00  97.30  30.00
20041228111724 20140927151537 0.88   -6.61800   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20141102225551 0.88   -6.33660   1.01  97.17  30.00   0.70  96.95  10.00
20041228111724 20141107002033 0.87   -4.09830   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20141113084908 0.89   -6.52700   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20141224173424 0.90    0.42530   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20150419183921 0.91   -1.00810   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20150601140723 0.89   -0.31720   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20150617074154 0.85   -5.00580   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20150917015128 0.86   -4.57050   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20151021210326 0.85   -3.63800   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20161231150111 0.86   -5.22420   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20170112191946 0.95   -7.41690   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20170130222527 0.86   -6.58920   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20170222205829 0.85   -6.87200   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20170224082156 0.90   -6.17450   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20170512110458 0.86   -2.43770   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20170721072358 0.86   -6.48970   1.01  97.17  30.00   1.01  97.17  30.00
20041228143019 20041229075241 0.91   -4.93120   1.01  97.17  30.00   1.01  97.17  30.00
20041228143019 20041229154956 0.95   -6.07870   1.01  97.17  30.00   1.01  97.17  30.00
20041228143019 20041229185016 0.94   -7.47050   1.01  97.17  30.00   1.01  97.17  30.00
20041228143019 20041229211250 0.90   -5.08790   1.01  97.17  30.00   1.01  97.17  30.00
20041228143019 20041230010443 0.88   -5.36110   1.01  97.17  30.00   1.01  97.17  30.00
20041228143019 20041230014255 0.94   -5.14100   1.01  97.17  30.00   1.01  97.17  30.00
20041228143019 20041230021026 0.89   -7.74100   1.01  97.17  30.00   1.01  97.17  30.00
20041228143019 20041230034218 0.88   -9.55830   1.01  97.17  30.00   1.01  97.17  30.00
20041228143019 20041230042733 0.92   -7.04050   1.01  97.17  30.00   1.01  97.17  30.00
20041228143019 20041230112632 0.95   -5.15260   1.01  97.17  30.00   1.01  97.17  30.00
